Examiner,Course coordinator,Teachers,Year,Part of programme,Duration,Pace of study,Form of study,Language of instruction,Course location,Number of places,Course code,Semester,Target group,Choose semester and course offering,P1,P2,P3,P4
{'Anders Bergström': 'https://www.kth.se/profile/abe/'},{'Anders Bergström': 'https://www.kth.se/profile/abe/'},"{'Malin Wennerholm': 'https://www.kth.se/profile/malinaw/', 'Erik Wingquist': 'https://www.kth.se/profile/erikwi/', 'Anders Bergström': 'https://www.kth.se/profile/abe/', 'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/', 'Patrick Nilsson': 'https://www.kth.se/profile/patnils/'}",Autumn 2021 Start 01/11/2021 programme students,"Degree Programme in Architecture, åk 1, Mandatory","['01/11/2021', '07/06/2022']",17%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11HIB,Autumn 2021,,,,2.5,1,4
{'Anders Bergström': 'https://www.kth.se/profile/abe/'},{'Anders Bergström': 'https://www.kth.se/profile/abe/'},"{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/', 'Patrick Nilsson': 'https://www.kth.se/profile/patnils/', 'Malin Wennerholm': 'https://www.kth.se/profile/malinaw/', 'Anders Bergström': 'https://www.kth.se/profile/abe/'}",Autumn 2022 Start 31/10/2022 programme students,"Degree Programme in Architecture, åk 1, Mandatory","['31/10/2022', '05/06/2023']",17%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11HIB,Autumn 2022,,,,2.5,1,4
,,,Autumn 2022 Start 29/08/2022 programme students,"Degree Programme in Architecture, åk 1, Mandatory","['29/08/2022', '16/01/2023']",10%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11IAA,Autumn 2022,,,2.5,0.5,,
{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/'},{'Stefan Inghult Raam': 'https://www.kth.se/profile/stefanir/'},{'Stefan Inghult Raam': 'https://www.kth.se/profile/stefanir/'},Autumn 2022 Start 15/08/2022 programme students,"Degree Programme in Architecture, åk 1, Optional","['15/08/2022', '26/08/2022']",67%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11INA,Autumn 2022,,,,,,
{'Leif Brodersen': 'https://www.kth.se/profile/leifb/'},{'Leif Brodersen': 'https://www.kth.se/profile/leifb/'},"{'Patrick Nilsson': 'https://www.kth.se/profile/patnils/', 'Erik Wingquist': 'https://www.kth.se/profile/erikwi/', 'Leif Brodersen': 'https://www.kth.se/profile/leifb/', 'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/', 'Katja Tollmar Grillner': 'https://www.kth.se/profile/grillner/'}",Spring 2022 Start 18/01/2022 programme students,"Degree Programme in Architecture, åk 1, Mandatory","['18/01/2022', '07/06/2022']",10%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11IYA,Spring 2022,,,,,2.5,0.5
{'Leif Brodersen': 'https://www.kth.se/profile/leifb/'},{'Leif Brodersen': 'https://www.kth.se/profile/leifb/'},"{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/', 'Katja Tollmar Grillner': 'https://www.kth.se/profile/grillner/', 'Leif Brodersen': 'https://www.kth.se/profile/leifb/', 'Patrick Nilsson': 'https://www.kth.se/profile/patnils/'}",Spring 2023 Start 17/01/2023 programme students,"Degree Programme in Architecture, åk 1, Mandatory","['17/01/2023', '05/06/2023']",10%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11IYA,Spring 2023,,,,,2.5,0.5
{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/'},{'Patrick Nilsson': 'https://www.kth.se/profile/patnils/'},"{'Patrick Nilsson': 'https://www.kth.se/profile/patnils/', 'Ebba Matz': 'https://www.kth.se/profile/ematz/', 'Maria Vendel': 'https://www.kth.se/profile/vendel/', 'Tobias Bernstrup': 'https://www.kth.se/profile/tber/', 'Malin Wennerholm': 'https://www.kth.se/profile/malinaw/'}",Autumn 2022 Start 29/08/2022 programme students,"Degree Programme in Architecture, åk 1, Mandatory","['29/08/2022', '17/03/2023']",10%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11KOB,Autumn 2022,,,1.5,,1.5,
{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/'},{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/'},"{'Ola Johannes Keijer': 'https://www.kth.se/profile/keijer/', 'Björn Andersson': 'https://www.kth.se/profile/bjornand/', 'Monika Lenkmann': 'https://www.kth.se/profile/lenkmann/', 'Elsa Uggla': 'https://www.kth.se/profile/elsau/', 'Patrick Nilsson': 'https://www.kth.se/profile/patnils/', 'Anna Pang': 'https://www.kth.se/profile/apang/', 'Stefan Inghult Raam': 'https://www.kth.se/profile/stefanir/', 'Ebba Matz': 'https://www.kth.se/profile/ematz/', 'Joel Sjögren': 'https://www.kth.se/profile/joelsj/', 'Rumi Kubokawa': 'https://www.kth.se/profile/kubokawa/', 'Maria Vendel': 'https://www.kth.se/profile/vendel/', 'Tobias Bernstrup': 'https://www.kth.se/profile/tber/'}",Autumn 2022 Start 29/08/2022 programme students,"Degree Programme in Architecture, åk 1, Mandatory","['29/08/2022', '28/10/2022']",67%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11P1B,Autumn 2022,,,8,,,
{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/'},{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/'},"{'Joel Sjögren': 'https://www.kth.se/profile/joelsj/', 'Ebba Matz': 'https://www.kth.se/profile/ematz/', 'Tobias Bernstrup': 'https://www.kth.se/profile/tber/', 'Maria Vendel': 'https://www.kth.se/profile/vendel/', 'Rumi Kubokawa': 'https://www.kth.se/profile/kubokawa/', 'Ola Johannes Keijer': 'https://www.kth.se/profile/keijer/', 'Elsa Uggla': 'https://www.kth.se/profile/elsau/', 'Stefan Inghult Raam': 'https://www.kth.se/profile/stefanir/', 'Patrick Nilsson': 'https://www.kth.se/profile/patnils/', 'Monika Lenkmann': 'https://www.kth.se/profile/lenkmann/', 'Björn Andersson': 'https://www.kth.se/profile/bjornand/', 'Anna Pang': 'https://www.kth.se/profile/apang/'}",Autumn 2022 Start 29/08/2022 programme students,"Degree Programme in Architecture, åk 1, Mandatory","['29/08/2022', '16/01/2023']",33%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11P2B,Autumn 2022,,,1,8,,
{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/'},{'Veronika Ronnefalk': 'https://www.kth.se/profile/vro/'},"{'Erik Wingquist': 'https://www.kth.se/profile/erikwi/', 'Björn Andersson': 'https://www.kth.se/profile/bjornand/', 'Monika Lenkmann': 'https://www.kth.se/profile/lenkmann/', 'Caroline Hammarström': 'https://www.kth.se/profile/carham/', 'Joel Sjögren': 'https://www.kth.se/profile/joelsj/', 'Stefan Inghult Raam': 'https://www.kth.se/profile/stefanir/', 'Isabell Gonzaga': 'https://www.kth.se/profile/gonzaga/', 'Mats Fahlander': 'https://www.kth.se/profile/matsfa/', 'Anna Pang': 'https://www.kth.se/profile/apang/', 'Elsa Uggla': 'https://www.kth.se/profile/elsau/'}",Spring 2022 Start 18/01/2022 programme students,"Degree Programme in Architecture, åk 1, Mandatory","['18/01/2022', '07/06/2022']",50%,Normal Daytime,Swedish,KTH Campus,Min: 5,A11P3B,Spring 2022,,,,,8,8
